ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
15	3,8315	59,0161	0	0	2,48215	0	0	0	0	0	0	2,66365	0	0	2,7662	0	2,5987	2,9132	5,6813	2,7261	2,49365	2,55035	2,8604	3,036	0	0	0	2,57005	0	0	2,91735	0	0	0	2,59445	2,68635	2,68895	0	0	0	0	0	0	0,071	0	2,6294	0
16	3,513	59,0161	0	0,3495	0	0,40735	0,5405	0	0,32485	0,6162	0	0	0	0,545	0	0	0	0	0	0	0	0,24185	0	0	0	0,46815	0,4552	0	0	0	0	0,63375	0,4377	0	0	0	0	0	0	0,56685	0,4688	0	0,5266	0	0,45915	0	0
17	6,6474	59,0164	0,50475	0	0	0	0,4803	0,5156	0,4737	0	0,44405	0	0	0	0,5415	0,36355	0	0	0	0	0,34145	0	0	0	0,5339	0	0,3393	0	0	0,43295	0	0,5624	0,77235	0	0	0,54505	0	0,47485	0	0,4034	0	0,551	0,42735	0	0,40275	0,5688	0,3008
18	6,4968	65,0057	0	0	0,557	0	0	0	0	0	0	0,17885	0	0,01135	0,1059	0,0338	0,1669	0,3036	0,1729	0,2531	0	0,17745	0,2577	0,6214	0	0	0	0,25945	0	0	0,22605	0	0	0	0,1599	0,1253	0,13005	0	0,0472	0,00665	0	0,0266	0,1862	0	0,26295	0,1385	0
19	1,2592	67,0202	14,70235	13,9989	12,21865	13,41315	13,06135	14,08915	13,58185	13,18115	13,56555	11,8202	11,62675	14,1036	13,44485	13,52985	13,7775	13,53155	17,9295	12,73755	13,38125	13,76995	14,8222	13,8222	14,27785	9,35955	12,80285	13,7053	12,2552	14,4589	13,05185	12,41415	14,16355	15,3498	14,0807	11,80775	14,4788	14,24755	14,8376	12,5334	14,72705	14,08905	14,4187	12,5293	14,9255	13,80555	13,321
20	3,5857	67,0202	2,54535	2,32075	0,9562	2,4245	2,34015	2,2848	2,3945	2,2235	2,43415	0,8596	1,00625	1,86585	1,58405	2,2294	0,92445	0,9443	0	1,1843	1,1755	1,15075	1,14925	0,9874	2,4252	1,4407	2,69325	1,0051	2,26715	2,5773	1,1917	2,40675	2,4658	0	0,98455	1,1309	1,03555	2,34725	2,47475	2,30315	2,62385	2,3971	2,45875	2,21	2,3578	1,28805	2,06025
21	3,7534	67,0204	0	0	1,3631	0	0	0	0	0	0	1,38955	1,5138	0	2,35215	1,20815	1,34575	1,4318	0	1,2835	1,45145	1,599	1,34695	1,1936	0	0	0	1,244	2,6334	1,40225	1,4902	0	0	3,6856	1,30685	1,2347	1,24865	0	0	0	0	0	0	0	0	1,42315	0
22	1,1908	69,0359	1,84105	1,81315	2,09035	1,7763	1,8062	1,74135	1,80065	1,6459	1,94035	2,0004	0	1,72265	1,8935	1,9314	1,98115	1,92685	1,6468	2,1639	1,76975	1,99355	2,0083	1,9549	2,0153	1,3161	1,80785	2,04385	0	1,87225	2,13145	1,89915	1,55855	0	2,3584	2,1495	2,1489	1,774	2,0459	1,69425	2,02895	1,69	1,62505	1,79095	1,8962	2,05925	1,52815
23	1,1685	71,0148	45,23905	43,6506	48,74785	37,03535	37,2537	35,5565	43,5648	45,50525	45,43875	43,6098	71,39525	43,19985	17,1793	42,4887	39,839	45,52075	56,7781	48,37515	41,4074	43,7323	45,2605	46,5294	44,50795	31,1394	43,9607	41,52815	53,4677	46,9554	46,1386	38,29805	44,35605	80,6528	50,1729	44,10475	45,67655	41,7207	46,4959	40,63305	45,2691	45,65955	38,9227	40,74235	42,30065	41,7639	39,2659
24	1,4145	71,0149	3,95555	9,01485	8,8761	4,0155	8,13755	4,30255	4,62945	6,63315	5,4992	5,4944	10,42535	7,09195	7,0706	5,69795	3,3879	7,12525	0	7,76235	4,59585	8,61145	9,69645	8,36135	6,7406	1,95505	3,11165	3,85925	9,6924	3,97425	5,02975	3,40225	5,68595	11,0001	6,7979	5,372	9,9195	6,8329	5,79	5,2497	6,0758	7,4541	6,7779	8,2274	4,06145	3,4436	6,7363
25	1,6695	71,015	0,68865	0,6562	0,52445	0,32165	0	0,3913	0	0	0,49325	0,4076	1,65205	0,708	0	0,66995	0	1,4577	0	0,64075	0	0,42625	0	0	1,4906	0	0	0	0	0,54525	1,3884	0,6598	2,1046	1,6116	0,58405	0,5118	0	0	1,2887	0,5482	0	0	1,74665	0	0,35755	0	0,5237
26	2,9991	71,0151	9,29425	6,88525	3,90895	7,0449	6,4391	6,0725	8,73695	8,1242	7,977	3,5265	7,6418	7,82575	2,9562	7,8627	3,2051	3,91735	0	3,6881	7,30705	3,12335	3,3819	3,92415	8,48095	5,5622	9,52705	2,9366	7,94325	9,25975	3,79875	8,0538	9,0414	0	4,49905	3,11215	3,4031	6,6081	9,8674	7,397	7,8447	8,285	7,81735	8,40095	7,85065	3,3875	6,87745
27	4,9973	71,0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5543	0	0	0,6218	0,3341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,47305	0	0,5179	0	0	0	0	0
28	3,1529	71,0153	0	0	5,2662	0	0	0	0	0	0	5,2817	10,0151	0	4,501	0	4,99625	5,62525	0	4,85485	4,286	4,90765	3,9157	6,0395	0	0	0	4,1273	10,52315	0	5,0358	0	0	20,5186	5,78265	4,6804	4,45895	0	0	0	0	0	0	0	0	4,45505	0
29	3,7021	71,0509	0	0	0,174	0	0	0	0	0	0	0,1776	0,26755	0	0,3605	0	0	0	0	0	0,10065	0	0	0	0	0	0	0,07935	0,84455	0	0,07035	0	0	1,102	0	0	0,38175	0	0	0	0	0	0	0	0	0,10905	0
