ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
3613	2,4388	292,1698	0	0	0	0	0	0	0	0	0	0,5846	0	0	0,87365	0	0	0,79915	0	0	0	1,2393	0,7005	0	0	0	0	0,44885	0	0	0	0	0	0	0,7785	0,35275	0,05815	0	0	0	0	0	0	0	0	0,226	0
3615	3,1572	292,9611	0	0	0,60225	0	0	0	0	0	0	0	1,10655	0	0,65605	0	0	0	0	0,63935	0	0	0,43325	0,83785	0	0	0	0,43855	1,0899	0	0,70455	0	0	2,1569	0,9479	0	0,7557	0	0	0	0	0	0	0	0	0,4353	0
3616	1,0538	293,0271	0,64675	0,82735	0,56925	1,6259	2,5325	0,67715	1,5751	1,5412	0,6999	1,6104	1,1531	0,8618	0,5356	1,8093	1,3702	0,87535	0	0,5782	0,3102	1,03985	0,6276	1,43535	0,71665	4,39655	0,73795	0,42855	1,17905	1,3033	0,31925	2,4613	1,82815	1,3395	2,4254	0,8157	1,75435	2,0408	1,7544	0,3419	0,7989	1,53115	2,2964	0,7972	2,40905	1,9103	1,61685
3617	3,6192	293,0309	0	0	0,65145	0	0	0	0	0	0	0,75565	0	0	0,4979	0	0	0,56875	0	0,631	0	0,6195	1,12745	1,297	0	0	0	0,74155	0	0	0,82805	0	0	0	0	0,7831	0,8316	0	0,66555	0	0	0	0	0	0	0	0
3618	3,4523	293,031	0	0,8619	0	0,8073	0,68635	0,62345	0,1098	0,632	0	0	0	0	0	0,3913	0	0	0	0	0	0	0	0	0	0,27965	0,68405	0	0	0	0	0	0,73265	0	0	0	0	0,73545	0	0,12095	0,37095	0,11335	0	0,2885	0,41295	0	0
3619	3,7314	293,0334	0	0	0	0	0,40055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,35775	0	0	0	0,62075	0	0	0,46425	0	0	0	0,06995	0	0,2748	0	0	0,828	0	0	0	0	0
3620	3,8476	293,0403	0,3677	0	0,328	0	0	0	0	0	0	0	0	0	0,0495	0	0,58745	0	0	0	0	0	0	0	0	0	0	0,22755	0	0	0,7506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3621	1,1889	293,0492	1,06185	1,7066	0	1,0191	0,9597	2,07115	1,476	0,34615	1,39475	0,48475	1,00225	1,0441	2,54735	0,5597	1,03485	0,4515	0	0	1,9742	0,74725	0,80505	0,51225	0,4157	0,87945	0,9463	0	0,5605	2,04225	0,52245	0,943	0	2,8763	0,90605	1,3457	0	2,35935	0	1,4515	1,4305	0	0,24205	1,6868	1,02975	0,6988	0,2976
3622	1,2095	293,0501	1,23985	1,73095	1,02305	1,5427	0,9198	2,2276	1,48685	0,544	1,3611	1,74915	0,861	1,05505	2,49145	0,93455	1,63455	1,12595	0,3729	1,0945	2,01805	0,7922	2,1024	1,18385	0,6264	0,3984	1,41205	1,5501	0	2,0052	0,9926	1,2346	0,88535	2,5347	0,8972	2,0139	1,29725	2,2849	0,8282	1,5148	1,44065	1,1525	0,56745	1,66765	1,88685	1,8354	0,96165
3623	3,7248	293,0642	0	0	0	0	0	0	0	0	0	0,1417	0	0,24965	0	0	0	0	0	0,1099	0	0,36265	0	0	0	0	0	0	0	0	0,1244	0,05605	0,05665	0	0	0	0	0	0	0	0	0	0,2826	0	0	0	0
3624	4,9345	293,0863	0,6443	0,48855	0,4273	0,40575	0,5388	0,64685	0,59845	0,7723	0	0	0	1,1617	0	1,3343	0,50725	0,52965	0	0	0	0,6264	0	0	1,35325	0	0,53855	0,5242	0,54005	0,5736	0	1,4738	0,7106	0	0	0,6291	0,6185	0,9975	0,5332	0,5949	0	0,43745	1,32985	1,26825	0	0,6808	0,62505
3625	5,7103	293,0873	2,29075	3,4943	2,8262	2,6388	2,54105	2,60015	2,6017	2,62685	2,5118	2,4922	5,0592	2,7535	2,47645	2,7339	2,6907	2,6989	3,2465	2,7818	2,49135	2,30505	3,3053	2,7401	2,72925	1,7135	2,372	2,77705	5,3832	2,7011	2,7468	2,1829	2,85255	5,6831	2,9094	2,8992	2,91785	3,1386	3,00515	2,4113	2,9588	2,8817	2,91015	2,33015	3,0088	2,35555	2,86905
3626	5,2387	293,0874	0,1533	0	0	0,24225	0	0	0	0	0,1203	0	0,53865	0,1334	0	0,28895	0	0	0	0	0,80035	0	0	0	0,23845	0	0	0	0	0,3767	0	0	0,2336	0	0	0	0	0	0,1455	0,29695	0,8887	0	0,3256	0,32135	0,23195	0	0,1491
3627	7,1568	293,0875	0	0	0,73305	0	0,66285	0,5333	0	0	0	0,50435	0	0	0,4982	0	0,59585	0,49685	0	0,45365	0	0,5712	0,62115	0	0	0	0	0,51725	0,31435	0	0	0	0	0,32	0	0	0	0,63295	0	0,55695	0	0,50415	0	0	0	0,5672	0
3628	8,944	293,0878	0,9642	0,8435	0	0,3366	0,39475	0	0,3407	0,30485	0,33975	0	0	0,3231	0	0,58005	0	0,4213	0	0	0,3191	0	0	0	0,3164	0,1278	0	0	0,08545	0,4847	0	0,39345	0,26725	0	0	0	0	0	0,44865	0,3609	0,314	0	0,44945	0,6251	0,37995	0	0,6001
3629	5,9394	293,088	0	0,27275	0,5935	0	0	0,52395	0,37115	0	0,35025	0,42115	0	0,5506	0	0	0	0	0	0	0,50155	0,5012	0	0	0,51905	0	0	0	0,50225	0	0	0	0,55505	0	0,55545	0,5591	0,5798	0,52885	0	0	0	0	0,55295	0	0	0	0
3630	5,0339	293,0883	0	0	0,54025	0	0	0	0	0	0	0	0,7578	0	0	0	0	0	1,0285	0	0	0	0,51925	0,72895	0	0	0	0	0	0	0,5675	0	0	1,004	0,68525	0,58705	0,57305	0	0	0	0	0	0	0	0	0,73225	0
3631	8,8105	293,1022	0	0	0,2176	0	0	0	0	0	0	0	0	0	0,22835	0	0,02925	0,72255	2,2576	0	0	0,50035	0,70765	0	0	0	0	0,66635	0	0	0,4991	0	0	29,1286	0,5158	0,3508	0,60385	0	0	0	0	0	0	0	0	0,6702	0
3632	8,7384	293,1023	2,09555	2,50675	1,102	1,23895	0,95565	1,0983	2,1785	1,1726	0	0,8369	28,7016	0	0,4633	2,31025	0,0534	0	0	0,88185	1,515	0	0,88255	0	2,01485	0,638	1,7894	0	29,1088	1,2106	1,2854	1,00415	1,9237	29,8606	1,11265	0,81165	0,9504	1,15525	2,0397	0,96695	2,03395	2,09885	2,0462	0	0	1,0879	1,2841
3633	6,3774	293,1062	4,77615	4,17465	3,11985	3,3226	2,90585	3,41815	4,4006	3,25975	4,26195	4,196	0	4,5694	3,0799	3,2838	3,6315	3,70475	14,2115	3,573	3,18485	2,50725	3,9406	4,10975	4,79365	2,38395	4,2093	3,381	0	4,03145	3,57585	3,07235	4,8053	0	3,64665	3,4505	3,6944	4,3052	4,0531	3,5349	3,8153	4,7656	2,97645	4,1921	3,44965	4,29075	2,47855
3634	5,4316	293,1105	0	0	0,17385	0	0	0	0	0	0	0,33185	0,5865	0	0,5613	0	0,2647	0	0	0,20305	0	0,4056	0	0,281	0	0,1056	0	0	0,92135	0	0,25485	0	0	1,7626	0,28485	0,40185	0	0	0	0	0	0	0	0	0	0	0
3635	5,3251	293,1164	0	0,16375	0,2418	0,26755	0	0,32235	0,20155	0,13125	0	0	0,2972	0,1348	0,2456	0,13215	0	0,3152	0	0,1395	0,11185	0,27335	0,28265	0,13765	0,3298	0,31345	0,18565	0,3193	0,64805	0,18415	0,28765	0	0,20775	0	0,0919	0,24645	0,29405	0,23135	0,1255	0,2493	0,7343	0,3064	0,3344	0,0612	0,2857	0	0
3636	4,4126	293,1233	44,52085	46,9837	20,16755	45,53525	44,31225	43,49185	45,31185	48,12985	46,2121	17,03665	27,3121	47,46625	16,8481	46,52555	19,2491	20,74395	0	21,8844	40,4432	19,80475	21,24485	18,21805	45,8533	30,4299	40,86255	20,11675	30,7527	46,61545	21,74185	44,71165	49,13765	0	20,93195	18,9669	21,7481	47,82615	46,7751	45,84005	46,4581	44,19765	45,8922	45,9282	45,14	19,3413	44,36365
3637	4,532	293,1236	7,4843	4,04595	29,38055	9,4273	6,70095	8,40715	5,21345	9,18565	4,4522	29,6252	41,60155	6,844	27,43895	6,0259	25,8391	27,7209	53,1377	29,77675	4,3935	26,05925	24,8945	30,5467	8,5164	3,1415	9,7075	30,38805	42,2679	3,7417	26,72255	2,84855	8,87725	71,1069	29,8954	30,2236	30,0787	3,7737	10,1213	8,2536	6,12085	6,7672	10,5622	7,5342	5,9661	29,82785	0,7157
3638	3,8156	293,1237	0	0	1,16915	0	0	0	0	0	0	0	2,73695	0	0	1,66395	0	0,80205	3,2508	0,95585	0,14385	0	2,46005	1,36455	0	0,89525	0	1,2481	1,73975	0	0	0	0	5,3347	1,197	0,0455	1,1817	0	0	0	0	0	0	0	0	0	0
3639	3,6598	293,1248	0,07145	0,7423	0,1947	0,0594	0,10365	0	0	0,1947	1,0094	0,1155	1,63425	0,0578	0,12115	0,90745	1,0321	0,2447	0	0,24955	0,1185	0,1794	0	0,12375	1,53625	0	0,16045	0,1702	1,311	1,0991	0,1912	0,05355	0,1285	0	0,2923	0,24805	0,16895	0,1341	0,28325	0,39015	0,8057	0,10945	0,9512	0,09785	0	0	0,0736
3640	4,6489	293,1251	0	0,9687	1,14675	0	0	0	0	0	0	0,424	2,62185	0,82175	2,6896	0	0	0	4,6709	2,2466	2,83735	0,08295	4,1654	2,36945	0,9992	0	0,03415	5,1331	5,21885	1,048	0,9663	0	0	0	1,42565	5,2916	0,97385	0	1,3297	0,464	0	0	0	0,81415	0	0,54535	0
3641	3,5778	293,1252	0	0,2106	0	0,12905	0	0,1745	0	0,8348	0	0	0	0,11295	0	0,0215	0	0	0	0	0	0	0	0	0,10145	0	1,045	0,35045	0	0	0	1,30375	0,24745	0	0	0	0	0	0,31865	0,09875	0,14575	0,1114	0	0	0,1132	0,33955	0
3642	4,282	293,1387	0	0	0	0	0	0	0	0	0	0,64885	0	0	0	0	0	0,4468	1,5846	0,54465	0,6592	0,83085	0,61055	0	0	0	0	0	0	0	0,6786	0	0	0	0	0	0	0	0	0	0	0	0	0,64535	0	0	0,5386
3643	4,1261	293,1405	0	0	0,58935	0	0,2136	0,451	0	0,6958	0,5474	0	0	0	0,6406	0	0	0	0	0,55895	0	0,7737	0,4994	0	0,4807	0,57375	0	0	1,40045	0	0	0	0,13885	0	0	0,03795	0	0,5768	0	0,28765	1,8492	0	0	0,53355	0	0	0,5349
3645	4,7098	293,1462	2,35505	2,15215	2,5371	1,45205	1,5087	1,95405	1,60015	2,22255	2,5975	2,4945	1,5994	0,7047	3,90625	1,72365	0,57335	3,3165	1,8404	2,95665	3,2044	4,2749	2,12275	2,0731	1,6568	2,94615	2,22605	0,71145	0	2,59935	3,4787	1,12835	0,4507	0	2,2386	1,6635	0,45725	2,72675	2,11225	1,3758	4,44535	1,7582	1,5697	2,1381	1,255	1,60515	1,74815
3646	4,8078	293,1473	0	0	1,52695	0	0	0	0	0	0	1,485	0,778	0	2,49945	0	0,7272	1,85305	1,8189	1,67615	0	2,1988	1,24085	1,19425	0	0	0	0,7886	1,4057	0	1,918	0	0	0	0,99235	0,75855	0,457	0	0	0	0	0	0	0	0	1,0316	0
3647	3,9406	293,1518	0	0	0	0,15605	0	0,46605	0,0553	0	0	0,2525	0,4617	0	0,36205	0	0	0	0	0,2468	0	0,48345	0	0	0	0	0	0	0,9942	0,2	0	0,1784	0	0	0,2975	0,2486	0,0928	1,06795	0,2879	0,1344	0,3958	0	0	0	0	0	0
3648	8,4657	293,1761	0,29795	0	0	0,18225	0	0,8961	0	0	1,62155	0	0,3493	0	0	0	0	0	0	0,7367	0,80165	1,1737	0	0	1,6059	0	0	1,0545	0,2332	0	1,33675	0,05795	0,2631	0	1,109	0	0	0,9787	0	0	0	0,28985	0	0,2665	0	0	0,59725
3649	8,6405	293,1769	0	0	0	0	2,12345	0,30805	0,54005	0	2,04485	0	0	1,5904	0	1,05065	0	0	0	0	0	0	0	0	1,7963	0	0,09895	0	0	0	0	0,55945	0	0	0	0	0	1,07255	1,4046	1,29975	0	0	1,9873	1,6437	1,649	0	0
3650	8,9338	293,1788	0	0	0	0	0	0	0	0	0	0	0	0	0,2613	0	2,14475	1,77135	4,0496	0	0	0,1642	2,14195	0	0	0	0	1,1765	0	0	0,8947	0	0	0	0	0,1279	0,1663	0	0	0	0	0	0	0	0	0	0
3651	9,9699	293,2098	0	0	0	0	0,65755	0,4684	0	0	0	0,4708	0	0	0	0,7404	0	0	0	0,6012	0,4319	0,0216	0,67435	0	0,51345	0	0	0,7144	0	0	0	0	0	0	0,3921	0,69745	0,7405	0,52035	0	0	0	0	0	0	0,15865	0,5517	0
3652	8,7482	294,1081	0	0	0	0	0	0	0	0	0	0,07815	5,28775	0	0	0	0	0	0	0	0	0	0,09015	0	0	0	0,1986	0	5,4508	0	0	0,03605	0	6,0188	0	0	0	0	0,0595	0	0	0	0	0	0	0	0
3654	6,4487	294,114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,20585	0	1,87	0,1797	0	0	0	0,18725	0	0	0	0,26685	0	0	0,1244	0	0	0	0,19645	0,1453	0,2105	0	0	0	0	0	0	0	0	0	0
3655	4,4093	294,1279	5,907	6,8219	2,616	6,62865	6,1001	6,07685	6,0406	6,5023	6,2393	2,3169	4,3011	7,18645	2,20135	6,6406	2,91185	2,9768	0	3,226	6,05565	2,7512	3,19095	2,72685	6,97875	4,1494	6,03635	3,07485	4,5128	7,36675	3,8159	5,8277	7,0473	0	3,0154	3,0777	2,88125	6,71915	6,5204	6,6565	7,0744	6,20635	7,0741	6,37505	5,83115	2,7693	7,22325
3656	4,5307	294,1284	0,28965	0,84345	4,4459	1,3102	1,56525	0,87065	0,9428	0,31815	0,55335	3,49155	5,5929	1,3233	4,3996	0,7895	4,3632	4,3154	7,3064	4,9384	0,6731	4,46495	3,98465	4,72105	1,3557	0,66225	1,2945	4,2792	5,611	1,05475	4,3855	0,58585	1,42005	10,6719	4,2004	4,31935	4,4507	1,43015	0,85265	1,41065	1,19015	0,75	0,55785	0,53155	0,8342	4,8487	1,07445
3657	4,6507	294,1284	0	0	0,6676	0	0	0	0	0	0	0,6439	0,67595	0	0,27695	0	0,4951	0	1,2767	0,7351	0	0,33175	0,67245	0	0	0	0	0,7143	0,6807	0	0,10065	0	0	0	0	0,71115	0,56425	0	0	0	0	0	0	0	0	0	0
3658	4,6765	294,1534	0,149	0,18875	0,03755	0	0,1036	0,0946	0,1949	0,12605	0,1506	0,11945	0	0,11275	0,3404	0,07325	0,10735	0,18865	0	0,21625	0,0788	0,3172	0	0,05365	0,1394	0	0,1567	0,0618	0	0,16555	0,26165	0	0	0	0,08065	0	0	0	0,1175	0,0654	0,2434	0	0	0,12505	0	0,1181	0,13255
3659	1,3961	295,035	0	0,1278	0,11715	0	0	0	0	0,05225	0	0	0	0,0555	0	0,09185	0	0,1382	10,3007	0	0	0	0	0,0906	0	0	0	0	0	0	0	0	0,0932	0	0,15235	0	0	0	0,06825	0	0	0,11315	0,16095	0	0	0	0
3660	4,3623	295,045	66,10645	152,80375	66,0971	127,4436	125,0431	131,0794	141,49985	141,46445	69,1795	46,82045	23,572	139,96425	47,92905	143,23425	51,33485	58,79195	0	67,66145	56,82575	55,437	71,97215	57,21265	150,6754	87,35745	127,73915	57,6469	29,6866	63,6043	70,58545	118,2293	144,6707	0	69,1679	59,1298	63,941	151,76335	153,33625	125,18395	153,5947	141,48845	142,0458	52,1393	128,64215	63,41705	132,5519
3661	4,4662	295,0454	79,2032	0	77,30745	0	0	0	0	0	76,3787	79,3769	34,8956	0	78,3274	78,09225	77,6406	83,4088	161,8705	79,92375	80,2278	81,654	81,9974	80,21305	0	0	0	81,19745	35,91965	79,85335	80,9155	0	0	64,3491	75,98265	76,0032	77,2104	0	0	0	0	0	0	80,79195	0	77,4872	79,7783
3662	3,9718	295,0589	0,5628	0	0	0	0	0	0,48645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,3339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,21175	0	0
3663	1,1314	295,0659	89,0339	90,36775	94,39735	90,4272	84,0969	85,70385	82,3015	86,3455	93,3884	90,24475	106,77825	91,50165	83,74535	89,737	90,0728	88,2323	83,1604	96,5482	84,6304	84,53215	99,25995	91,58385	91,0374	71,8088	85,50305	93,2683	104,15845	88,0961	94,91685	83,4261	87,4519	138,6465	100,28235	93,17505	100,4245	90,3807	88,6774	91,48755	89,7368	82,50315	90,9001	85,85825	88,0097	99,1219	80,90185
3664	1,5215	295,0697	0	0,21275	0	0	0,169	0,26325	0,21995	0	0	0	0	0,23815	0	0,4743	0	0	0	0,2924	0	0	0	0,25505	0,3331	0	0,13835	0,19725	0	0,1772	1,17535	0,3385	0	0	0,03555	0	0,11795	0	0	0,1009	0,40855	0,56255	0,1796	0,23365	0	0	0
3665	4,9394	295,0758	0	0,16355	0	0	0,47265	0	0,3466	0	0	0	0	0,18615	0	0	0	0	0	0	0	0	0,1159	0	0,2834	0,2906	0,29035	0	0	0,20405	0	0,2966	0,33205	0	0	0	0	0,0583	0,5259	0	0,4074	0	0	0	0,4697	0	0,2948
3666	5,023	295,0789	0	0	0,51515	0	0	0	0	0	0	0,12575	0	0	0,4666	0	0	0	1,5243	0,41935	0	0	0,3388	0	0	0	0	0	0	0	0,1968	0	0	0	0,61125	0,29955	0,32015	0	0	0	0	0	0	0	0	0,1677	0
3667	1,2359	295,0797	0	0,3973	0,59565	0	0	0	0	0	0	0,1336	0	0	0,85155	0	0	0	0	0	0	0	0,66925	0,1492	0	0	0,6361	0	0	0,4638	0	0	0	0	0	0,40835	0	0	0	0	0	0,0784	0	0	0,5942	0	0
3668	1,4548	295,0998	2,25315	1,9188	1,77305	1,5371	1,67915	1,9894	1,76015	1,73285	1,05095	1,3716	1,8249	1,8751	2,14415	0,72765	1,987	2,6093	1,6753	2,1528	1,69355	2,3562	2,36195	2,1333	1,6605	0,64705	1,61785	2,5122	1,55375	1,7781	1,7501	1,42935	1,75915	1,4873	2,2289	1,92375	1,705	1,829	1,97445	1,7678	2,2209	1,43685	1,6863	1,622	1,27045	1,932	1,8126
3669	1,9317	295,1028	7,85525	7,5804	3,3073	7,0779	7,3766	6,7487	7,04915	7,52865	6,57615	2,88565	1,1909	6,6373	2,63495	7,06735	3,3748	2,8941	0	3,6096	3,45375	3,25775	3,5893	3,28365	8,18255	3,0965	6,97885	3,77495	1,94665	7,615	3,44755	6,26055	6,81065	0	3,2777	3,44675	3,938	7,4208	8,0381	6,34235	8,49265	8,33435	7,2145	7,62515	6,5884	3,2813	7,4941
3670	2,0443	295,1033	0	0	2,9386	0	0	0	0	0	0	3,75225	1,49315	0	3,603	0	4,46045	4,0071	10,9719	3,34055	3,8396	4,17835	4,3879	4,041	0	0	0	4,11835	2,0161	0	3,07825	0	0	4,1236	4,15045	2,5467	4,4479	0	0	0	0	0	0	0	0	4,1398	0
3671	5,519	295,1104	0	0	0,4494	0	0	0	0	0	0	0,1383	0,1131	0	0,1663	0	0	0,45945	0,4599	0,3082	0	0,6063	0,31165	0	0	0	0	0,14975	0	0	0,20405	0	0	0	0,35285	0	0	0	0	0	0	0	0	0	0	0,16635	0
3672	4,9514	295,1112	0	0	0	0	0	0,0457	0	0	0,08905	0	0,0645	0	0	0	0	0,12185	0	0	0	0	0	0	0,1299	0	0	0	0	0	0,11505	0	0	0	0	0	0	0	0	0	0,18795	0,1354	0	0,1231	0	0	0
3673	5,4322	295,116	0,2526	0,2242	0,23175	0,24625	0,0683	0,17625	0,41805	0,1106	0	0,1512	0	0,23985	0,26995	0,1544	0,06285	0,28905	0	0,26785	0,16675	0,22795	0,2214	0	0,12885	0,25075	0	0,0805	0,054	0,22495	0,19745	0,14405	0,1763	0	0,19455	0,22285	0,1359	0,18525	0,22575	0,26555	0	0	0	0,21725	0,09655	0,10975	0
3674	8,2213	295,1181	0,04845	0,06545	0,06455	0	0,069	0	0	0,0761	0,0605	0,0542	0,9779	0	0	0	0	0	0	0,08635	0	0,0921	0	0,07395	0	0	0	0	1,2867	0	0,1128	0	0	0	0	0	0,06585	0,0493	0,1323	0,07565	0,15985	0,05905	0,13175	0	0,07615	0	0
3675	5,9026	295,122	15,71995	19,31125	18,72395	18,58485	18,30345	16,2194	15,74145	16,8684	16,74625	14,11715	0	15,94155	18,74955	16,5012	15,11965	16,5869	0	20,1749	17,35365	19,88	20,08145	15,6085	17,4457	10,25195	15,11285	18,9312	0	15,97405	15,8527	14,33395	15,96505	0	17,8184	18,9542	20,36275	18,7115	16,9702	16,83015	22,03875	16,68305	18,64035	15,0411	16,4063	16,17125	16,3039
3676	8,3198	295,123	0	0	0	0	0	0	0	0	0	0	1,1314	0	0	0	0,05055	0	0	0	0	0	0	0	0	0	0	0	1,01235	0	0	0	0	2,2399	0	0	0	0	0	0	0	0	0	0	0	0	0
3677	4,5238	295,1306	0	0	0,69505	0,0641	0	0	0	0	0	0,6772	1,02475	0	0,63985	0	0,6061	0,73975	1,1644	0,7304	0	0,57125	0,64295	0,3324	0	0	0	0,5865	1,1848	0	0,6257	0	0	2,2911	0,6911	0,7496	0,875	0	0,06135	0	0	0	0	0	0	0,53035	0
3678	4,4094	295,1307	1,0772	1,52215	0,46665	1,4763	1,26725	1,10325	1,04805	1,3053	1,0832	0,343	0,70845	1,28335	0,58795	1,1405	0,4486	0,48555	0	0,70635	1,2497	0,49265	0,3973	0,60485	1,04375	0,52625	1,1972	0,38375	0,7147	0,98535	0,56435	0,9456	1,3772	0	0,52565	0,5806	0,6219	1,04395	1,02525	0,95325	1,17435	1,21975	1,0855	1,03475	1,26595	0,57505	0,8585
3679	10,5084	295,2278	1,86235	1,8036	1,3453	1,9766	2,5116	1,6023	1,67625	1,4846	1,6765	1,56475	0	2,11795	1,87085	2,4406	2,18435	2,05265	1,1615	1,44445	1,9701	1,7145	2,2333	2,1341	1,95275	0,9011	2,13275	2,16955	0,13085	1,8874	1,948	2,07745	2,4137	0	1,6446	2,13635	2,391	1,67245	2,31245	1,7324	1,6241	0,92415	2,7162	1,57655	1,7445	2,4002	1,9023
3681	4,3581	296,0494	9,8739	23,07675	10,00495	18,39565	18,96365	19,70585	20,8106	22,43205	10,83695	7,2495	3,7774	20,5724	7,3069	21,6277	7,79705	8,70315	0	10,21085	8,33515	8,66365	10,65785	8,61495	23,35575	13,32005	18,58895	9,28595	4,6143	9,39395	10,59125	17,72055	22,25025	0	10,33395	8,9426	10,0554	23,1575	22,3577	18,49165	23,4673	21,4593	21,9845	8,0063	20,25735	9,1669	19,63695
3682	4,4613	296,0502	11,4237	0	10,9688	0	0	0	0	0	11,4769	12,3228	5,33605	0	12,2125	12,1797	12,2414	12,23735	23,7309	11,7335	12,3501	12,08085	12,3434	12,24285	0	0	0	12,2583	5,22155	11,75785	11,83805	0	0	11,046	11,4439	11,3777	11,67075	0	0	0	0	0	0	12,4275	0	11,47325	11,7765
3683	1,202	296,0579	0	0	0,3998	0,26185	0,4726	0,20615	0,60345	0,4286	0,5153	0,4306	0	0,2018	0	0,74205	1,05675	0,1038	1,4263	0,127	0	0,34775	0,3882	1,0783	0	0	0,3667	0,15705	0,45195	0,77285	0,5781	0,20145	0,5802	1,5399	0,21735	0,29565	0	0	0	0,3294	0,5142	0	0,6767	0,39055	0,6583	0,5814	0,3479
3684	4,583	296,0669	0	0,09765	0	0	0	0	0	0	0	0	0	0	0	0	0,7417	0	0	0	0	0	0,42385	0,10975	0	0	0	0,45915	0	0	0	0	0	0	0,10205	0,2655	0	0	0,0512	0	0	0	0	0	0	0,08185	0
3685	1,1327	296,071	10,23485	9,92205	10,68185	10,7602	9,8643	9,31625	9,97045	9,519	11,148	10,1029	12,4355	10,766	9,9316	10,6755	9,97325	10,55425	8,7811	10,8711	10,1924	10,05645	11,57525	10,38545	10,4328	8,11975	9,918	10,60765	12,4971	10,3992	11,33515	9,3417	10,3327	16,5675	11,0254	10,77445	11,92975	10,7925	10,5246	10,25515	10,23585	9,1124	10,4413	9,64525	10,039	10,9728	9,174
3686	4,1419	296,0784	1,1467	1,06475	0	1,1489	1,27025	1,08195	1,2608	1,187	1,2631	0,48595	0,2753	1,2383	0,46725	1,1237	0,42845	0,5359	0	0,65585	0,43575	0,48735	0,6236	0,61855	1,2708	0,82055	1,2018	0,64845	0,32465	1,2853	0,6421	0,7002	1,29765	0	0,68245	0,60165	0,478	1,1623	1,1452	1,1452	1,3296	1,26675	1,20405	1,125	1,14845	0,53155	1,0649
3687	4,2562	296,0788	0,61545	0	0,791	0	0	0	0	0	0,63595	0,73305	0,465	0	0,70635	0,7148	0,5774	0,6926	1,4632	0,7789	0,47915	0,66255	0,62765	0,66305	0	0	0	0,70055	0,3966	0,7743	0,6163	0	0	0,8724	0,6075	0,7429	0,8527	0	0	0	0	0	0	0,7167	0	0,7672	0,5969
3688	4,0277	296,0815	0	0	1,3657	0	0	0	0	0	0	0,69355	0	0	0,96785	0	0,1986	1,0229	0,3302	1,4489	1,23735	1,24085	0,76565	0,6261	0	0	0	0,7399	0	0	0,2369	0	0	0	0,83075	0,9259	0,3149	0	0	0	0	0	0	0	0	0,2838	0
3689	3,8864	296,0815	1,3147	1,6824	1,1371	0,31745	0,4246	1,3073	0,5745	0,3977	0,9619	0,58435	0	0,67245	0,4861	0,19445	0,2178	0,64145	0	1,1807	2,08765	0,84775	0,66095	0,47895	0	0,2515	0,326	0,7359	0	1,22455	0	0,18265	1,1025	0	0,8712	0,7184	0,2259	1,6462	0,79385	0,3642	1,01445	0,9276	1,1145	1,3334	1,04315	0	0,29175
3690	2,2273	296,0999	0	0	5,17225	0	0	0	0	0	0	6,3473	3,17115	0	8,7508	0	4,80835	4,6333	0	5,3412	0	9,8677	4,7419	4,7463	0	0	0	6,06535	6,11375	0	3,5197	0	0	7,8987	6,2676	3,4087	9,17865	0	0	0	0	0	0	0	0	7,0114	0
3691	2,1002	296,1001	8,22245	6,01955	3,74435	10,42715	6,33545	9,1838	3,62035	3,0493	4,2107	3,23735	0	8,72305	4,2158	4,93755	3,1997	2,18615	0	4,4317	8,8145	5,10255	2,8909	3,15225	5,46375	5,49025	9,43745	3,54285	2,9293	9,97905	2,3951	2,52105	7,91165	0	4,03525	2,79965	4,9332	8,9666	7,1013	5,1692	13,809	3,1426	6,7864	3,2213	9,81155	4,89875	4,61005
3692	5,8999	296,1253	2,40635	2,6938	2,7483	2,61435	2,8726	2,6304	2,43855	2,24785	2,3183	2,01815	0	2,4727	2,8	2,3048	2,12245	2,3013	0	2,9223	2,40405	2,93825	2,70915	2,33315	2,47045	1,50775	2,4442	2,7352	0	2,44745	2,38095	1,83215	2,37775	0	2,66415	2,9335	2,9499	2,82045	2,5501	2,50705	3,1236	2,3167	2,5874	2,2297	2,43135	2,3194	2,29365
3693	1,653	296,9479	2,7279	2,33585	1,8103	2,46255	2,48365	2,00985	2,73215	2,1162	2,332	2,455	0	2,11285	1,5669	2,27705	2,40335	1,9677	2,7326	2,2668	2,5269	1,64965	2,3537	2,4123	2,7109	1,03085	2,53745	2,66335	0	2,4128	1,8622	2,249	3,06945	0	2,43675	2,3171	2,395	1,95555	2,8143	1,992	2,4963	3,11175	2,7838	1,83755	2,57775	1,99525	2,76905
