ID	m/z	1790_NEG_D4	1789_NEG_D4	1788_NEG_D4	1787_NEG_C1	1786_NEG_C1	1785_NEG_C2	1784_NEG_D4	1783_NEG_D4	1782_NEG_D4	1781_NEG_C2	1780_NEG_unknown	1779_NEG_C2	1778_NEG_C2	1777_NEG_D4	1776_NEG_D4	1775_NEG_C1	1774_NEG_C2	1773_NEG_C2	1772_NEG_D4	1771_NEG_D4	1770_NEG_C1	1769_NEG_C2	1768_NEG_C2	1767_NEG_C1	1765_NEG_D3	1764_NEG_D4	1763_NEG_D4	1762_NEG_D4	1760_NEG_D4	1759_NEG_D4	1758_NEG_D4	1757_NEG_D4	1756_NEG_C1	1755_NEG_D4	1754_NEG_D3	1753_NEG_C1	1752_NEG_C1	1751_NEG_D3	1750_NEG_D4	1749_NEG_D4	1748_NEG_D4	1747_NEG_D4	1746_NEG_C1	1745_NEG_D4	1744_NEG_D4	1743_NEG_D4	1742_NEG_C1	1741_NEG_D4	1740_NEG_C2	1739_NEG_D4	1738_NEG_C1
12418	429.049722	0	0	18137004	0	0	0	0	0	0	0	0	0	0	0	19486393	0	14967208	0	0	0	0	0	9868763.8	25036959	0	0	38404328	0	0	0	25310496	8836122.7	8350173.7	0	27821870	0	10072043	0	26953238	9414711.8	0	25123859	15239441	0	7284120	23166772	19973025	6741647.3	7841849	0	0
12419	429.057063	0	0	18233265	7270641.5	0	0	0	17080324	5964622.2	5885674.9	0	0	7751088.4	0	11832510	10309424	0	7798414	5990409.4	0	0	0	0	11644069	0	0	0	6142683.3	0	0	15332645	0	17002980	0	0	0	9889264	8348698.4	0	12585021	0	8921112.5	0	0	7639966	11917113	0	0	0	0	0
12420	429.0656588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6123229.1	10216396	52392934	6682797	42970032	13297827	20619507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97973052
12421	429.07868	80849570	0	0	22377731	0	0	0	0	12010845	0	7512699.4	0	0	0	0	0	0	0	0	0	0	7622102.1	0	0	0	0	0	5757159.2	0	0	0	0	0	0	0	0	0	12524586	0	0	0	0	0	0	12550576	0	0	7394462.8	0	0	0
12422	429.0828023	1341188800	6041074.4	36529089	727577860	5528395.2	31384441	106151640	75837466	452105570	0	0	0	5763014.3	0	26229455	0	0	0	9334809.6	8694969.6	0	0	9340911.9	0	0	11284143	0	23910633	0	0	6956341.9	0	7464952.7	58436508	417146690	5953872.2	10337282	45789228	163534380	502246480	19459719	50480173	0	0	205019570	141260620	0	0	0	0	24912712
12423	429.1038745	21209783	27216385	64662479	65774873	16700243	51456904	23103215	35059755	50890096	26756384	49389199	43908929	39921112	19336915	85308125	48581463	41307595	25262776	22663719	81518795	18800119	14541292	21935101	61796558	43226057	63198910	42950925	14515445	46625703	83973106	125607240	53609030	28128778	33694633	110176080	36074841	59838481	51003451	54367805	53132381	66075278	95491134	33177918	0	37925316	65406809	53493695	15199403	24667227	0	49660758
12424	429.1302071	0	0	0	0	0	0	0	0	0	7436094.3	0	0	0	0	10277102	0	7004635.5	0	10955320	0	0	7000577.2	0	0	0	0	0	0	0	0	18223445	13716059	8275487.3	0	0	0	7684131.4	14906446	44967503	8331886.8	0	0	0	0	32322008	0	0	0	7334508	0	0
12425	429.1401868	21689046	14579227	28150758	13851959	5630559.7	8277921	0	10744905	15414666	6549321.5	19541676	7607646.8	9515510.5	11949790	39424756	10433397	26557922	12406489	13767230	21995753	17195537	10457609	13898771	26974446	57439202	17145561	30023973	9576712.8	0	17803280	50503003	48939619	17412648	20503488	50345835	10846568	29726763	26626133	61380182	17696885	22842011	31378523	10233179	0	20907488	14845811	53952467	7820478.4	7954546.4	0	23067503
12427	429.1531108	17620706	88637989	11477999	0	0	21545898	26447642	0	0	5819224.5	17778358	7938921.5	6730497.8	0	10541821	0	11960810	9405156.7	18757190	8183027.7	5321241.6	10266644	11574299	0	0	47699682	23798062	18595088	0	25003035	12201316	8223341.1	0	0	37461875	38966638	8867379.5	7782493.8	15982175	11032702	14391968	7455844.9	0	0	7228906.7	0	18059226	5311685.2	10121851	0	19354488
12428	429.1587394	29846246	15272489	9285106.3	6540614.7	0	0	0	12247128	12775831	0	16249530	0	0	0	11810560	0	5907693.6	7525097.9	8831561.7	24328440	13457950	38523417	13162526	7369469.8	0	0	12503858	0	0	8891423.9	13200232	38206066	9168438.8	0	23691127	5628016.1	10224184	8949857.8	34356835	78511234	11473058	20667497	10182506	0	10085871	0	0	33489096	0	0	7411067.6
